total_trades,win_rate,profit_factor,expectancy_r,avg_r,median_r,sum_r,max_drawdown_r,max_losing_streak,avg_holding_bars,scenario,families,sessions,exclude_near_gap,tp_r_multiple,timeout_bars,swing_lookback,rolling_level_n,spread_points,slippage_points,entry_delay_bars,atr_floor_mult,atr_cap_mult
7325,0.44150170648464165,1.0312157696868591,0.014971940624377589,0.014971940624377589,-0.2882249560632695,109.66946507356585,-87.47964544195611,16,5.960819112627986,grid::tp1.5_to12_sw5,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,1.5,12,5,20,0.0,0.0,0,,
8471,0.4409160665800968,1.0294157912244537,0.013876384099112375,0.013876384099112375,-0.2734584450403302,117.54684970358093,-68.23486590519217,14,4.301617282493212,grid::tp1.5_to8_sw4,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,1.5,8,4,20,0.0,0.0,0,,
8914,0.4367287413058111,1.028819463279172,0.014376498565423673,0.014376498565423673,-0.41292927880090846,128.15210821218662,-116.83919304586117,14,3.7885348889387482,grid::tp1.5_to8_sw3,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,1.5,8,3,20,0.0,0.0,0,,
7099,0.4311874911959431,1.0251585593032166,0.012975885084390544,0.012975885084390544,-0.6416426050689844,92.11580821408847,-76.91900476071535,15,6.422172136920693,grid::tp1.5_to16_sw4,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,1.5,16,4,20,0.0,0.0,0,,
8214,0.4289018748478208,1.02497171496907,0.013081927126832194,0.013081927126832194,-0.842342435485653,107.45494941979965,-138.96951423136017,14,4.659605551497443,grid::tp1.5_to12_sw3,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,1.5,12,3,20,0.0,0.0,0,,
6210,0.4320450885668277,1.0234710757310796,0.012064322833938273,0.012064322833938273,-0.5847907901105072,74.91944479875667,-88.12266660675836,16,8.259903381642513,grid::tp1.5_to20_sw5,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,1.5,20,5,20,0.0,0.0,0,,
6707,0.43536603548531383,1.0230577474627764,0.011515081898436618,0.011515081898436618,-0.4190573770491956,77.2316542928144,-91.62296484149643,15,7.174593708066199,grid::tp1.5_to16_sw5,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,1.5,16,5,20,0.0,0.0,0,,
6642,0.4277326106594399,1.021974285730655,0.011651953598074971,0.011651953598074971,-1.0,77.39227579841396,-72.32406173773076,15,7.308943089430894,grid::tp1.5_to20_sw4,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,1.5,20,4,20,0.0,0.0,0,,
7665,0.434703196347032,1.0214623156301441,0.010720910041569784,0.010720910041569784,-0.4262164553229147,82.1757754686324,-83.84870250726782,15,5.435616438356164,grid::tp1.5_to12_sw4,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,1.5,12,4,20,0.0,0.0,0,,
9090,0.41826182618261826,1.0174210815256308,0.009616744967037207,0.009616744967037207,-1.0,87.41621175036822,-123.84993984824376,13,3.6366336633663368,grid::tp1.5_to12_sw2,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,1.5,12,2,20,0.0,0.0,0,,
7349,0.42032929650292555,1.0151141634925707,0.008328835116988368,0.008328835116988368,-1.0,61.20860927474752,-117.06318797177039,15,5.984351612464281,grid::tp1.5_to20_sw3,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,1.5,20,3,20,0.0,0.0,0,,
7714,0.42286751361161523,1.0122462580801486,0.006623277469747442,0.006623277469747442,-1.0,51.09196240163177,-150.6422617292713,15,5.3898107337308785,grid::tp1.5_to16_sw3,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,1.5,16,3,20,0.0,0.0,0,,
8436,0.41251778093883357,1.011669589370968,0.006653544333235708,0.006653544333235708,-1.0,56.12929999517643,-111.13900368628506,13,4.424608819345662,grid::tp1.5_to20_sw2,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,1.5,20,2,20,0.0,0.0,0,,
9626,0.42281321421151047,1.010636406256507,0.0057130951568215745,0.0057130951568215745,-1.0,54.994253979564476,-141.62431696023975,16,3.0877830874714314,grid::tp1.5_to8_sw2,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,1.5,8,2,20,0.0,0.0,0,,
8705,0.4157380815623205,1.0089750243581823,0.005060168690821941,0.005060168690821941,-1.0,44.04876845360499,-151.30530450540476,14,4.083170591614015,grid::tp1.5_to16_sw2,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,1.5,16,2,20,0.0,0.0,0,,
