strategy,timeframe,direction,entry_time,exit_time,entry_price,exit_price,sl_price,tp_price,bars_held,reason,pnl_r
VWAP_MR,M5,short,2021-01-05 14:30:00+00:00,2021-01-05 15:00:00+00:00,1942.875,1939.8795112141818,1952.5893749999998,1939.8795112141818,7,tp,0.3083563055593684
VWAP_MR,M5,short,2021-01-05 18:30:00+00:00,2021-01-05 20:10:00+00:00,1948.838,1948.518,1958.5821899999999,1943.4937031003228,21,timeout,0.0328400821412493
VWAP_MR,M5,short,2021-01-06 15:45:00+00:00,2021-01-06 17:25:00+00:00,1952.885,1957.335,1962.6494249999998,1946.2341128542855,21,timeout,-0.45573600083979504
VWAP_MR,M5,long,2021-01-06 19:50:00+00:00,2021-01-06 21:30:00+00:00,1935.495,1934.848,1925.817525,1951.1181072549484,21,timeout,-0.06685628224303729
VWAP_MR,M5,long,2021-01-06 22:45:00+00:00,2021-01-06 23:00:00+00:00,1914.168,1904.5971599999998,1904.5971599999998,1936.857655066476,4,sl,-1.0
VWAP_MR,M5,short,2021-01-07 13:45:00+00:00,2021-01-07 15:00:00+00:00,1924.745,1918.7730021002333,1934.3687249999996,1918.7730021002333,16,tp,0.6205495169247677
VWAP_MR,M5,short,2021-01-08 03:00:00+00:00,2021-01-08 03:55:00+00:00,1917.278,1913.683379962918,1926.8643899999997,1913.683379962918,12,tp,0.3749711869725834
VWAP_MR,M5,long,2021-01-08 15:05:00+00:00,2021-01-08 16:45:00+00:00,1887.995,1890.615,1878.555025,1908.1066221792375,21,timeout,0.2775431079001922
VWAP_MR,M5,long,2021-01-08 21:50:00+00:00,2021-01-08 22:00:00+00:00,1868.528,1859.18536,1859.18536,1886.7304784577425,3,sl,-1.0
VWAP_MR,M5,long,2021-01-11 20:10:00+00:00,2021-01-11 21:50:00+00:00,1837.038,1840.018,1827.85281,1848.9828598572942,21,timeout,0.32443531380407414
VWAP_MR,M5,short,2021-01-12 10:25:00+00:00,2021-01-12 12:05:00+00:00,1849.995,1850.215,1859.2449749999996,1845.893392640917,21,timeout,-0.023783848064457894
VWAP_MR,M5,short,2021-01-12 12:40:00+00:00,2021-01-12 14:20:00+00:00,1853.078,1859.708,1862.3433899999998,1847.4404895451867,21,timeout,-0.7155662093015247
VWAP_MR,M5,short,2021-01-13 02:40:00+00:00,2021-01-13 04:20:00+00:00,1856.838,1856.215,1866.1221899999998,1844.187810274338,21,timeout,0.06710332296086757
VWAP_MR,M5,short,2021-01-13 20:50:00+00:00,2021-01-13 21:30:00+00:00,1858.415,1854.4057690959564,1867.7070749999998,1854.4057690959564,9,tp,0.4314677727034707
VWAP_MR,M5,long,2021-01-14 09:35:00+00:00,2021-01-14 09:35:00+00:00,1838.968,1829.77316,1829.77316,1848.151148499545,1,sl,-1.0
VWAP_MR,M5,short,2021-01-15 01:00:00+00:00,2021-01-15 02:40:00+00:00,1855.648,1846.655,1864.9262399999998,1845.8515973957988,21,timeout,0.9692571004845817
VWAP_MR,M5,short,2021-01-15 08:05:00+00:00,2021-01-15 09:45:00+00:00,1853.498,1851.258,1862.7654899999998,1847.5636441851777,21,timeout,0.24170514346388025
VWAP_MR,M5,long,2021-01-15 19:10:00+00:00,2021-01-15 20:50:00+00:00,1846.778,1837.54411,1837.54411,1852.2400664397949,21,sl,-1.0
VWAP_MR,M5,long,2021-01-18 06:40:00+00:00,2021-01-18 08:20:00+00:00,1814.785,1821.405,1805.7110750000002,1827.9597430910128,21,timeout,0.729563006086115
VWAP_MR,M5,short,2021-01-18 12:45:00+00:00,2021-01-18 14:25:00+00:00,1836.148,1836.978,1845.3287399999997,1826.8106395395068,21,timeout,-0.09040665567265535
VWAP_MR,M5,short,2021-01-19 15:10:00+00:00,2021-01-19 16:50:00+00:00,1842.755,1842.695,1851.9687749999998,1838.7807555576992,21,timeout,0.006511988842811406
