strategy,timeframe,direction,entry_time,exit_time,entry_price,exit_price,sl_price,tp_price,bars_held,reason,pnl_r
PEM,M5,short,2024-08-23 02:30:00+00:00,2024-08-23 03:05:00+00:00,2479.055,2483.375,2483.375,2470.4149999999995,8,sl,-1.0
PEM,M5,long,2024-08-23 05:10:00+00:00,2024-08-23 07:00:00+00:00,2484.758,2487.263999999999,2483.505,2487.263999999999,23,tp,2.0
PEM,M5,long,2024-08-23 11:05:00+00:00,2024-08-23 12:55:00+00:00,2493.865,2491.825,2491.825,2497.9449999999997,23,sl,-1.0
PEM,M5,long,2024-08-23 15:50:00+00:00,2024-08-23 17:50:00+00:00,2498.328,2497.615,2492.985,2509.0139999999997,25,timeout,-0.13344562979603466
PEM,M5,long,2024-08-23 19:05:00+00:00,2024-08-23 20:30:00+00:00,2501.755,2498.218,2498.218,2508.8290000000006,18,sl,-1.0
PEM,M5,long,2024-08-26 06:15:00+00:00,2024-08-26 07:50:00+00:00,2515.025,2512.585,2512.585,2519.905,20,sl,-1.0
PEM,M5,short,2024-08-26 10:05:00+00:00,2024-08-26 10:55:00+00:00,2512.175,2509.3150000000005,2513.605,2509.3150000000005,11,tp,2.0
PEM,M5,long,2024-08-27 00:00:00+00:00,2024-08-27 02:00:00+00:00,2519.695,2517.655,2513.695,2531.695,25,timeout,-0.3399999999999939
PEM,M5,short,2024-08-27 06:50:00+00:00,2024-08-27 07:55:00+00:00,2516.125,2513.1270000000004,2517.624,2513.1270000000004,14,tp,2.0
PEM,M5,long,2024-08-27 16:20:00+00:00,2024-08-27 16:55:00+00:00,2513.065,2508.495,2508.495,2522.2050000000004,8,sl,-1.0
PEM,M5,short,2024-08-27 20:30:00+00:00,2024-08-27 20:50:00+00:00,2505.404,2513.035,2513.035,2490.1420000000003,5,sl,-1.0
PEM,M5,short,2024-08-27 23:10:00+00:00,2024-08-27 23:30:00+00:00,2511.085,2513.125,2513.125,2507.005,5,sl,-1.0
PEM,M5,long,2024-08-28 00:05:00+00:00,2024-08-28 00:40:00+00:00,2514.358,2519.804,2511.635,2519.804,8,tp,2.0
PEM,M5,long,2024-08-28 01:10:00+00:00,2024-08-28 01:55:00+00:00,2520.815,2525.3089999999997,2518.568,2525.3089999999997,10,tp,2.0
PEM,M5,long,2024-08-28 05:40:00+00:00,2024-08-28 06:10:00+00:00,2525.704,2527.922000000001,2524.595,2527.922000000001,7,tp,2.0
PEM,M5,short,2024-08-28 08:10:00+00:00,2024-08-28 10:10:00+00:00,2520.255,2515.258,2525.185,2510.3950000000004,25,timeout,1.0135902636917777
PEM,M5,short,2024-08-28 11:15:00+00:00,2024-08-28 11:40:00+00:00,2514.645,2511.8650000000002,2516.035,2511.8650000000002,6,tp,2.0
PEM,M5,short,2024-08-28 19:30:00+00:00,2024-08-28 20:30:00+00:00,2498.665,2507.965,2507.965,2480.0649999999996,13,sl,-1.0
PEM,M5,short,2024-08-28 23:25:00+00:00,2024-08-29 01:25:00+00:00,2500.855,2504.298,2506.355,2489.855,25,timeout,-0.6259999999999557
PEM,M5,long,2024-08-29 02:30:00+00:00,2024-08-29 03:30:00+00:00,2509.185,2506.285,2506.285,2514.985,13,sl,-1.0
PEM,M5,short,2024-08-29 03:40:00+00:00,2024-08-29 05:35:00+00:00,2505.148,2508.118,2508.118,2499.2080000000005,13,sl,-1.0
PEM,M5,long,2024-08-29 09:40:00+00:00,2024-08-29 11:40:00+00:00,2514.095,2517.515,2511.945,2518.394999999999,25,timeout,1.5906976744189076
PEM,M5,long,2024-08-29 15:05:00+00:00,2024-08-29 15:05:00+00:00,2517.985,2515.325,2515.325,2523.3050000000007,1,sl,-1.0
