strategy,timeframe,direction,entry_time,exit_time,entry_price,exit_price,sl_price,tp_price,bars_held,reason,pnl_r,hour,session,atr14,atr_pct_rank,vol_bucket,ema55_slope_norm,trend_bucket,close,ema55,vwap
PEM,M15,long,2025-04-22 05:45:00+00:00,2025-04-22 07:15:00+00:00,3432.005,3419.505,3419.505,3457.005,7,sl,-1.0,5,Asia,5.649600028090766,0.25,LowVol,0.6094625403559072,Strong,3430.855,3411.150347332226,3421.8325156291285
PEM,M15,short,2025-04-22 16:15:00+00:00,2025-04-22 19:15:00+00:00,3448.135,3459.515,3473.705,3396.995000000001,13,timeout,-0.44505279624559185,16,NY_Overlap,10.233352740236043,0.9583333333333334,HighVol,0.0478110902907968,Flat,3456.795,3454.8204376281,3455.001492306579
PEM,M15,short,2025-04-23 02:00:00+00:00,2025-04-23 05:45:00+00:00,3379.335,3333.605,3430.345,3277.3150000000005,13,timeout,0.8964908841403691,2,Asia,13.214552980350872,0.8541666666666666,HighVol,-0.5578211534737609,Strong,3383.735,3426.239229384119,3393.6406737982898
PEM,M15,short,2025-04-23 10:15:00+00:00,2025-04-23 13:15:00+00:00,3355.295,3315.145,3379.705,3306.4750000000004,13,timeout,1.644817697664905,10,London,15.037363973441018,0.9270833333333334,HighVol,-0.2977038856465327,Strong,3333.355,3381.076012207907,3365.3713220429077
PEM,M15,short,2025-04-23 19:30:00+00:00,2025-04-23 21:00:00+00:00,3317.105,3277.3250000000003,3336.995,3277.3250000000003,7,tp,2.0,19,NY_Late,10.934019339868879,0.15625,LowVol,-0.2535815636403546,Strong,3326.755,3340.039398107761,3347.927547074989
PEM,M15,long,2025-04-24 05:45:00+00:00,2025-04-24 08:45:00+00:00,3310.195,3363.605,3277.545,3375.4950000000003,13,timeout,1.635834609494631,5,Asia,8.581420253840967,0.03125,LowVol,-0.012075158403986664,Flat,3313.875,3303.6047791508618,3292.1115090036888
PEM,M15,short,2025-04-25 11:15:00+00:00,2025-04-25 14:15:00+00:00,3326.555,3310.665,3351.065,3277.5349999999994,13,timeout,0.6483068135454807,11,London,8.153514204187577,0.6666666666666666,HighVol,-0.1288555183909702,Moderate,3323.575,3342.447565774694,3346.905026211468
PEM,M15,long,2025-04-26 03:00:00+00:00,2025-04-28 06:45:00+00:00,3307.405,3305.465,3287.665,3346.8850000000007,13,timeout,-0.09827760891590838,3,Asia,6.833113478346785,0.16666666666666666,LowVol,0.036914611315578265,Flat,3305.075,3296.6918707704117,3293.543631160165
PEM,M15,short,2025-04-30 11:15:00+00:00,2025-04-30 12:15:00+00:00,3304.365,3312.855,3312.855,3287.3849999999993,5,sl,-1.0,11,London,5.44468784792604,0.25,LowVol,-0.28639543259086847,Strong,3304.625,3314.375754637468,3315.9329288494077
PEM,M15,short,2025-05-01 17:30:00+00:00,2025-05-01 20:30:00+00:00,3215.765,3222.375,3245.145,3157.0049999999997,13,timeout,-0.22498298162015326,17,NY_Late,6.344437893017127,0.07291666666666667,LowVol,-0.7876182801602537,Strong,3219.245,3245.2878312362786,3249.3418541466303
PEM,M15,long,2025-05-02 03:15:00+00:00,2025-05-02 03:45:00+00:00,3227.775,3236.475,3223.425,3236.475,3,tp,2.0,3,Asia,6.545751627055786,0.1875,LowVol,0.06444505256010352,Flat,3235.895,3226.4007488701614,3220.4761523579728
PEM,M15,long,2025-05-02 17:15:00+00:00,2025-05-02 17:45:00+00:00,3265.375,3257.435,3257.435,3281.255,3,sl,-1.0,17,NY_Late,5.309186673706169,0.125,LowVol,0.5213158341837998,Strong,3260.415,3249.040491719865,3242.251699772456
PEM,M15,long,2025-05-07 00:00:00+00:00,2025-05-07 03:00:00+00:00,3408.605,3421.475,3392.775,3440.265,13,timeout,0.8130132659507233,0,Asia,6.833826276482877,0.4895833333333333,MidVol,0.7255330487286394,Strong,3409.715,3378.3048242512473,3409.0716666666667
