strategy,timeframe,direction,entry_time,exit_time,entry_price,exit_price,sl_price,tp_price,bars_held,reason,pnl_r,session,hour,atr_pct_rank
PEM_M15_V2,M15,short,2021-08-27 18:00:00+00:00,2021-08-27 19:45:00+00:00,1794.735,1797.365,1797.365,1789.4749999999997,8,sl,-1.0,NY_Late,17,0.4166666666666667
PEM_M15_V2,M15,long,2021-08-27 23:15:00+00:00,2021-08-28 02:15:00+00:00,1813.718,1818.069,1805.855,1829.4440000000002,13,timeout,0.5533511382423826,NY_Late,23,0.9270833333333334
PEM_M15_V2,M15,short,2021-09-02 23:15:00+00:00,2021-09-03 02:15:00+00:00,1809.018,1809.218,1813.288,1800.478,13,timeout,-0.04683840749415605,NY_Late,23,0.875
PEM_M15_V2,M15,long,2021-09-03 17:15:00+00:00,2021-09-03 19:30:00+00:00,1813.698,1818.5780000000002,1811.258,1818.5780000000002,10,tp,2.0,NY_Late,17,0.4270833333333333
PEM_M15_V2,M15,long,2021-09-03 22:15:00+00:00,2021-09-04 01:15:00+00:00,1830.717,1830.804,1814.594,1862.9630000000002,13,timeout,0.005396018110772736,NY_Late,22,0.9791666666666666
PEM_M15_V2,M15,short,2021-09-07 23:45:00+00:00,2021-09-08 02:45:00+00:00,1794.558,1794.435,1821.738,1740.1979999999999,13,timeout,0.004525386313467513,NY_Late,23,0.9270833333333334
PEM_M15_V2,M15,long,2021-09-09 18:45:00+00:00,2021-09-09 19:45:00+00:00,1799.457,1794.257,1794.257,1809.8570000000002,5,sl,-1.0,NY_Late,18,0.6145833333333334
PEM_M15_V2,M15,short,2021-09-11 01:30:00+00:00,2021-09-13 05:15:00+00:00,1788.418,1788.168,1797.784,1769.6859999999995,13,timeout,0.02669229126628169,Asia,1,0.65625
PEM_M15_V2,M15,long,2021-09-13 19:30:00+00:00,2021-09-13 19:45:00+00:00,1791.094,1787.618,1787.618,1798.0460000000003,2,sl,-1.0,NY_Late,19,0.3020833333333333
PEM_M15_V2,M15,short,2021-09-16 19:00:00+00:00,2021-09-16 19:45:00+00:00,1774.558,1764.3980000000001,1779.638,1764.3980000000001,4,tp,2.0,NY_Late,18,0.8333333333333334
PEM_M15_V2,M15,long,2021-09-20 17:15:00+00:00,2021-09-20 20:15:00+00:00,1759.097,1757.988,1751.014,1775.2630000000001,13,timeout,-0.13720153408386887,NY_Late,17,0.2708333333333333
PEM_M15_V2,M15,short,2021-09-24 03:15:00+00:00,2021-09-24 07:00:00+00:00,1748.044,1746.238,1771.827,1700.4780000000003,13,timeout,0.07593659336501062,Asia,3,0.1875
PEM_M15_V2,M15,short,2021-09-30 00:15:00+00:00,2021-09-30 03:15:00+00:00,1724.848,1725.505,1731.298,1711.9479999999999,13,timeout,-0.10186046511630203,Asia,0,0.7916666666666666
PEM_M15_V2,M15,long,2021-10-04 23:45:00+00:00,2021-10-05 02:45:00+00:00,1768.168,1767.008,1762.565,1779.3739999999996,13,timeout,-0.20703194717113832,NY_Late,23,0.9270833333333334
PEM_M15_V2,M15,long,2021-10-07 18:30:00+00:00,2021-10-07 19:30:00+00:00,1763.905,1759.51,1759.51,1772.695,5,sl,-1.0,NY_Late,18,0.4479166666666667
PEM_M15_V2,M15,short,2021-10-08 02:00:00+00:00,2021-10-08 05:45:00+00:00,1755.528,1755.655,1758.918,1748.7480000000003,13,timeout,-0.03746312684364527,Asia,1,0.6770833333333334
