strategy,timeframe,direction,entry_time,exit_time,entry_price,exit_price,sl_price,tp_price,bars_held,reason,pnl_r,session,hour,atr_pct_rank
PEM_M15_V2,M15,short,2022-04-20 02:45:00+00:00,2022-04-20 06:30:00+00:00,1945.658,1948.828,1958.142,1920.6899999999996,13,timeout,-0.2539250240307621,Asia,2,0.75
PEM_M15_V2,M15,long,2022-04-21 03:00:00+00:00,2022-04-21 06:45:00+00:00,1956.348,1955.508,1949.813,1969.4179999999997,13,timeout,-0.1285386381025152,Asia,2,0.3541666666666667
PEM_M15_V2,M15,long,2022-04-22 02:15:00+00:00,2022-04-22 06:00:00+00:00,1951.468,1951.508,1938.172,1978.0600000000002,13,timeout,0.0030084235860381673,Asia,2,0.8125
PEM_M15_V2,M15,short,2022-04-30 02:45:00+00:00,2022-05-02 06:30:00+00:00,1900.073,1898.918,1915.903,1868.4130000000002,13,timeout,0.07296272899559099,Asia,2,0.8333333333333334
PEM_M15_V2,M15,short,2022-05-03 00:30:00+00:00,2022-05-03 03:30:00+00:00,1864.867,1861.868,1869.668,1855.265,13,timeout,0.6246615288481705,Asia,0,0.8333333333333334
PEM_M15_V2,M15,long,2022-05-05 01:30:00+00:00,2022-05-05 01:45:00+00:00,1872.208,1867.258,1867.258,1882.1080000000002,2,sl,-1.0,Asia,1,1.0
PEM_M15_V2,M15,short,2022-05-13 01:15:00+00:00,2022-05-13 05:00:00+00:00,1823.708,1822.194,1835.927,1799.2700000000004,13,timeout,0.12390539324004791,Asia,1,0.84375
PEM_M15_V2,M15,long,2022-05-17 02:30:00+00:00,2022-05-17 06:15:00+00:00,1823.798,1824.848,1814.304,1842.7859999999998,13,timeout,0.11059616599957489,Asia,2,0.5729166666666666
PEM_M15_V2,M15,short,2022-05-26 00:15:00+00:00,2022-05-26 00:30:00+00:00,1844.193,1847.073,1847.073,1838.4329999999998,2,sl,-1.0,Asia,0,0.8125
PEM_M15_V2,M15,long,2022-05-27 00:30:00+00:00,2022-05-27 03:30:00+00:00,1848.978,1850.748,1845.048,1856.8380000000002,13,timeout,0.45038167938930107,Asia,0,0.6770833333333334
PEM_M15_V2,M15,short,2022-05-30 06:30:00+00:00,2022-05-30 08:45:00+00:00,1848.918,1853.383,1853.383,1839.9879999999996,10,sl,-1.0,Asia,6,0.19791666666666666
PEM_M15_V2,M15,short,2022-05-31 06:30:00+00:00,2022-05-31 08:00:00+00:00,1853.308,1846.9679999999998,1856.478,1846.9679999999998,7,tp,2.0,Asia,6,0.03125
PEM_M15_V2,M15,short,2022-06-22 01:15:00+00:00,2022-06-22 05:00:00+00:00,1833.038,1832.963,1838.973,1821.1680000000001,13,timeout,0.012636899747269783,Asia,1,0.8333333333333334
PEM_M15_V2,M15,short,2022-06-28 01:00:00+00:00,2022-06-28 04:00:00+00:00,1822.413,1822.618,1826.488,1814.263,13,timeout,-0.050306748466239254,Asia,0,0.78125
PEM_M15_V2,M15,short,2022-07-13 00:45:00+00:00,2022-07-13 03:45:00+00:00,1726.094,1725.974,1733.688,1710.906,13,timeout,0.01580194890704733,Asia,0,0.375
PEM_M15_V2,M15,short,2022-07-19 02:30:00+00:00,2022-07-19 06:15:00+00:00,1707.987,1707.964,1712.698,1698.565,13,timeout,0.004882190617732579,Asia,2,0.5208333333333334
PEM_M15_V2,M15,short,2022-07-21 01:30:00+00:00,2022-07-21 03:00:00+00:00,1700.844,1695.676,1703.428,1695.676,7,tp,2.0,Asia,1,0.7708333333333334
PEM_M15_V2,M15,short,2022-07-21 03:15:00+00:00,2022-07-21 07:00:00+00:00,1693.158,1694.618,1702.254,1674.966,13,timeout,-0.16051011433597578,Asia,3,0.75
PEM_M15_V2,M15,long,2022-07-22 03:00:00+00:00,2022-07-22 06:45:00+00:00,1717.858,1718.816,1703.618,1746.338,13,timeout,0.06727528089888224,Asia,2,0.6979166666666666
PEM_M15_V2,M15,short,2022-08-03 01:00:00+00:00,2022-08-03 03:00:00+00:00,1771.844,1761.4560000000001,1777.038,1761.4560000000001,9,tp,2.0,Asia,0,0.84375
PEM_M15_V2,M15,long,2022-08-16 00:30:00+00:00,2022-08-16 03:30:00+00:00,1783.564,1779.044,1775.568,1799.5560000000003,13,timeout,-0.5652826413206513,Asia,0,0.7708333333333334
PEM_M15_V2,M15,short,2022-08-22 07:00:00+00:00,2022-08-22 09:30:00+00:00,1746.278,1747.848,1747.848,1743.1380000000001,11,sl,-1.0,Asia,6,0.020833333333333332
PEM_M15_V2,M15,long,2022-08-26 00:30:00+00:00,2022-08-26 03:30:00+00:00,1758.554,1757.664,1754.248,1767.1660000000002,13,timeout,-0.20668834184860468,Asia,0,0.75
PEM_M15_V2,M15,short,2022-08-29 07:00:00+00:00,2022-08-29 08:30:00+00:00,1734.714,1728.6859999999997,1737.728,1728.6859999999997,7,tp,2.0,Asia,6,0.59375
PEM_M15_V2,M15,short,2022-09-07 00:30:00+00:00,2022-09-07 03:30:00+00:00,1700.734,1700.741,1704.218,1693.7659999999996,13,timeout,-0.0020091848450234048,Asia,0,0.8645833333333334
PEM_M15_V2,M15,long,2022-09-08 00:15:00+00:00,2022-09-08 03:15:00+00:00,1714.805,1716.668,1709.488,1725.439,13,timeout,0.35038555576449626,Asia,0,0.8645833333333334
PEM_M15_V2,M15,short,2022-09-15 00:30:00+00:00,2022-09-15 03:30:00+00:00,1699.594,1697.208,1703.938,1690.906,13,timeout,0.5492633517495256,Asia,0,0.6875
PEM_M15_V2,M15,short,2022-09-22 00:15:00+00:00,2022-09-22 01:45:00+00:00,1665.108,1674.435,1674.435,1646.454,7,sl,-1.0,Asia,0,0.4270833333333333
PEM_M15_V2,M15,short,2022-09-22 05:45:00+00:00,2022-09-22 07:15:00+00:00,1671.158,1664.2379999999998,1674.618,1664.2379999999998,7,tp,2.0,Asia,5,0.875
PEM_M15_V2,M15,short,2022-10-01 01:00:00+00:00,2022-10-01 04:00:00+00:00,1661.265,1659.978,1673.638,1636.5190000000005,13,timeout,0.10401681079770898,Asia,0,0.7083333333333334
PEM_M15_V2,M15,long,2022-10-04 01:00:00+00:00,2022-10-04 04:00:00+00:00,1696.475,1699.608,1663.921,1761.5829999999996,13,timeout,0.09624009338330318,Asia,0,0.8645833333333334
PEM_M15_V2,M15,short,2022-10-12 02:15:00+00:00,2022-10-12 06:00:00+00:00,1665.472,1665.315,1682.958,1630.4999999999998,13,timeout,0.008978611460592732,Asia,2,0.9479166666666666
PEM_M15_V2,M15,long,2022-10-13 00:30:00+00:00,2022-10-13 01:15:00+00:00,1670.695,1677.869,1667.108,1677.869,4,tp,2.0,Asia,0,0.6354166666666666
PEM_M15_V2,M15,long,2022-10-14 01:00:00+00:00,2022-10-14 04:00:00+00:00,1670.138,1666.208,1646.018,1718.3779999999997,13,timeout,-0.16293532338307853,Asia,0,0.8020833333333334
PEM_M15_V2,M15,short,2022-10-18 00:15:00+00:00,2022-10-18 03:15:00+00:00,1657.798,1648.928,1663.748,1645.898,13,timeout,1.4907563025209787,Asia,0,0.625
PEM_M15_V2,M15,short,2022-10-21 01:45:00+00:00,2022-10-21 05:30:00+00:00,1628.428,1626.657,1633.467,1618.3500000000001,13,timeout,0.3514586227426454,Asia,1,0.7604166666666666
PEM_M15_V2,M15,long,2022-11-09 00:15:00+00:00,2022-11-09 03:15:00+00:00,1715.967,1711.568,1671.828,1804.2450000000003,13,timeout,-0.09966243005052453,Asia,0,0.9375
PEM_M15_V2,M15,short,2022-11-10 01:45:00+00:00,2022-11-10 04:45:00+00:00,1709.287,1705.798,1714.257,1699.347,13,timeout,0.7020120724346104,Asia,1,0.7291666666666666
PEM_M15_V2,M15,long,2022-11-11 03:15:00+00:00,2022-11-11 07:00:00+00:00,1753.647,1752.297,1746.118,1768.705,13,timeout,-0.17930668083409612,Asia,3,0.7291666666666666
PEM_M15_V2,M15,short,2022-11-17 02:00:00+00:00,2022-11-17 05:00:00+00:00,1772.447,1773.198,1783.398,1750.5449999999998,13,timeout,-0.06857821203544902,Asia,1,0.46875
PEM_M15_V2,M15,short,2022-11-19 00:30:00+00:00,2022-11-19 03:30:00+00:00,1751.927,1748.348,1762.458,1730.8649999999996,13,timeout,0.33985376507453147,Asia,0,0.84375
PEM_M15_V2,M15,long,2022-11-24 02:00:00+00:00,2022-11-24 05:00:00+00:00,1746.008,1749.225,1740.497,1757.03,13,timeout,0.5837416076936836,Asia,1,0.78125
PEM_M15_V2,M15,short,2022-11-25 01:00:00+00:00,2022-11-25 07:15:00+00:00,1754.907,1753.478,1757.217,1750.2869999999996,13,timeout,0.6186147186146117,Asia,0,0.010416666666666666
PEM_M15_V2,M15,short,2022-11-29 01:45:00+00:00,2022-11-29 04:45:00+00:00,1741.368,1740.828,1750.328,1723.4479999999999,13,timeout,0.060267857142852835,Asia,1,0.8125
PEM_M15_V2,M15,long,2022-12-01 02:15:00+00:00,2022-12-01 06:00:00+00:00,1761.548,1768.748,1750.707,1783.2299999999998,13,timeout,0.6641453740429957,Asia,2,1.0
PEM_M15_V2,M15,short,2022-12-07 02:15:00+00:00,2022-12-07 06:00:00+00:00,1768.017,1770.877,1773.028,1757.9950000000001,13,timeout,-0.5707443624026978,Asia,2,0.5104166666666666
PEM_M15_V2,M15,short,2022-12-15 01:45:00+00:00,2022-12-15 02:00:00+00:00,1807.335,1800.0350000000003,1810.985,1800.0350000000003,2,tp,2.0,Asia,1,0.4166666666666667
PEM_M15_V2,M15,long,2022-12-17 03:30:00+00:00,2022-12-19 07:15:00+00:00,1793.028,1791.385,1786.515,1806.0539999999999,13,timeout,-0.25226470136650536,Asia,3,0.4791666666666667
PEM_M15_V2,M15,long,2022-12-21 00:45:00+00:00,2022-12-21 03:45:00+00:00,1819.088,1818.215,1813.985,1829.294,13,timeout,-0.17107583774251148,Asia,0,0.90625
PEM_M15_V2,M15,short,2022-12-22 01:45:00+00:00,2022-12-22 04:45:00+00:00,1815.435,1814.087,1818.255,1809.7949999999996,13,timeout,0.4780141843971199,Asia,1,0.71875
PEM_M15_V2,M15,short,2022-12-23 01:15:00+00:00,2022-12-23 04:15:00+00:00,1788.985,1791.325,1816.315,1734.3249999999996,13,timeout,-0.08562019758507619,Asia,1,0.90625
PEM_M15_V2,M15,short,2022-12-24 01:15:00+00:00,2022-12-24 04:15:00+00:00,1796.947,1798.095,1802.915,1785.0109999999997,13,timeout,-0.19235924932977946,Asia,1,0.65625
PEM_M15_V2,M15,long,2022-12-27 06:45:00+00:00,2022-12-27 09:45:00+00:00,1801.755,1806.095,1795.335,1814.5950000000003,13,timeout,0.6760124610591696,Asia,6,0.19791666666666666
PEM_M15_V2,M15,long,2022-12-30 01:30:00+00:00,2022-12-30 02:00:00+00:00,1818.575,1815.945,1815.945,1823.8350000000003,3,sl,-1.0,Asia,1,0.7604166666666666
PEM_M15_V2,M15,long,2022-12-31 00:45:00+00:00,2022-12-31 03:45:00+00:00,1820.048,1822.548,1814.155,1831.834,13,timeout,0.4242321398269112,Asia,0,0.9479166666666666
PEM_M15_V2,M15,long,2023-01-10 03:15:00+00:00,2023-01-10 03:45:00+00:00,1874.698,1869.275,1869.275,1885.544,3,sl,-1.0,Asia,3,0.7395833333333334
PEM_M15_V2,M15,long,2023-01-14 01:45:00+00:00,2023-01-14 04:45:00+00:00,1919.195,1919.948,1915.038,1927.5089999999998,13,timeout,0.18114024536929757,Asia,1,0.7083333333333334
PEM_M15_V2,M15,short,2023-01-18 01:00:00+00:00,2023-01-18 04:00:00+00:00,1905.845,1908.285,1912.265,1893.0049999999999,13,timeout,-0.38006230529595436,Asia,0,0.8854166666666666
PEM_M15_V2,M15,long,2023-01-20 02:15:00+00:00,2023-01-20 03:15:00+00:00,1924.308,1933.214,1919.855,1933.214,5,tp,2.0,Asia,2,0.71875
PEM_M15_V2,M15,long,2023-01-24 01:30:00+00:00,2023-01-24 04:30:00+00:00,1926.525,1931.198,1920.595,1938.3850000000002,13,timeout,0.7880269814502447,Asia,1,0.8645833333333334
PEM_M15_V2,M15,long,2023-01-25 02:45:00+00:00,2023-01-25 06:30:00+00:00,1936.035,1936.315,1931.975,1944.1550000000004,13,timeout,0.06896551724136965,Asia,2,0.78125
PEM_M15_V2,M15,long,2023-01-26 00:30:00+00:00,2023-01-26 03:30:00+00:00,1937.127,1944.195,1925.705,1959.971,13,timeout,0.6188058133426693,Asia,0,0.875
PEM_M15_V2,M15,long,2023-02-07 02:30:00+00:00,2023-02-07 06:15:00+00:00,1870.815,1867.758,1863.998,1884.449,13,timeout,-0.4484377292063977,Asia,2,0.4791666666666667
PEM_M15_V2,M15,short,2023-02-08 03:45:00+00:00,2023-02-08 05:00:00+00:00,1868.625,1874.468,1874.468,1856.9389999999999,6,sl,-1.0,Asia,3,0.8958333333333334
PEM_M15_V2,M15,short,2023-02-09 03:00:00+00:00,2023-02-09 06:45:00+00:00,1876.237,1875.385,1879.365,1869.9810000000002,13,timeout,0.2723785166240756,Asia,2,0.5
PEM_M15_V2,M15,short,2023-02-10 03:15:00+00:00,2023-02-10 07:00:00+00:00,1861.165,1861.105,1867.355,1848.7849999999999,13,timeout,0.009693053311784314,Asia,3,0.9270833333333334
PEM_M15_V2,M15,long,2023-02-22 01:15:00+00:00,2023-02-22 01:45:00+00:00,1837.255,1832.065,1832.065,1847.6350000000002,3,sl,-1.0,Asia,1,0.875
PEM_M15_V2,M15,long,2023-03-01 00:45:00+00:00,2023-03-01 03:45:00+00:00,1830.528,1827.365,1825.665,1840.2540000000001,13,timeout,-0.6504215504832355,Asia,0,0.9166666666666666
PEM_M15_V2,M15,long,2023-03-04 02:30:00+00:00,2023-03-06 06:15:00+00:00,1849.605,1853.605,1845.775,1857.2649999999999,13,timeout,1.0443864229765212,Asia,2,0.7291666666666666
PEM_M15_V2,M15,short,2023-03-07 01:45:00+00:00,2023-03-07 02:15:00+00:00,1848.705,1845.0789999999997,1850.518,1845.0789999999997,3,tp,2.0,Asia,1,0.8333333333333334
PEM_M15_V2,M15,short,2023-03-08 01:15:00+00:00,2023-03-08 04:15:00+00:00,1816.975,1814.155,1821.585,1807.7549999999997,13,timeout,0.6117136659435701,Asia,1,0.90625
PEM_M15_V2,M15,short,2023-03-09 01:45:00+00:00,2023-03-09 04:45:00+00:00,1814.715,1813.725,1819.655,1804.8349999999998,13,timeout,0.20040485829959476,Asia,1,0.7708333333333334
PEM_M15_V2,M15,long,2023-03-10 01:45:00+00:00,2023-03-10 04:45:00+00:00,1830.768,1830.835,1827.535,1837.234,13,timeout,0.020723785957317775,Asia,1,0.7916666666666666
PEM_M15_V2,M15,long,2023-03-14 00:30:00+00:00,2023-03-14 03:30:00+00:00,1911.815,1912.275,1902.924,1929.5970000000002,13,timeout,0.05173771229333398,Asia,0,0.7604166666666666
PEM_M15_V2,M15,long,2023-03-15 00:30:00+00:00,2023-03-15 03:30:00+00:00,1909.794,1903.835,1902.105,1925.1720000000003,13,timeout,-0.7750032513981011,Asia,0,0.65625
PEM_M15_V2,M15,short,2023-03-16 02:00:00+00:00,2023-03-16 05:45:00+00:00,1912.575,1919.685,1935.898,1865.9290000000003,13,timeout,-0.3048492904000318,Asia,1,1.0
PEM_M15_V2,M15,long,2023-03-18 01:00:00+00:00,2023-03-18 04:00:00+00:00,1972.125,1987.798,1959.935,1996.505,13,timeout,1.2857260049220616,Asia,0,0.90625
PEM_M15_V2,M15,short,2023-03-22 00:45:00+00:00,2023-03-22 03:45:00+00:00,1938.025,1939.914,1948.858,1916.3590000000004,13,timeout,-0.17437459614141249,Asia,0,0.8645833333333334
PEM_M15_V2,M15,long,2023-03-23 01:30:00+00:00,2023-03-23 01:45:00+00:00,1955.235,1973.6549999999995,1946.025,1973.6549999999995,2,tp,2.0,Asia,1,0.96875
PEM_M15_V2,M15,long,2023-03-24 01:15:00+00:00,2023-03-24 05:00:00+00:00,1998.474,1993.424,1984.248,2026.9259999999997,13,timeout,-0.35498383241951326,Asia,1,0.6666666666666666
PEM_M15_V2,M15,short,2023-03-25 01:00:00+00:00,2023-03-25 04:00:00+00:00,1978.305,1977.988,1987.205,1960.5050000000003,13,timeout,0.03561797752809125,Asia,0,0.8541666666666666
PEM_M15_V2,M15,short,2023-03-28 00:45:00+00:00,2023-03-28 03:45:00+00:00,1951.915,1956.548,1959.335,1937.0749999999998,13,timeout,-0.6243935309973037,Asia,0,0.6458333333333334
