total_trades,win_rate,profit_factor,expectancy_r,avg_r,median_r,sum_r,max_drawdown_r,max_losing_streak,avg_holding_bars,scenario,tp_r_multiple,timeout_bars,swing_lookback,exclude_near_gap
10605,0.37265440829797264,0.989080136482947,-0.006411158503988773,-0.006411158503988773,-1.0,-67.99033593480094,-291.52617084970797,20,4.5705799151343705,grid::tp2.0_to12_sw2,2.0,12,2,False
8267,0.3510342324906254,0.9889722353525975,-0.006699277237670551,-0.006699277237670551,-1.0,-55.38292492382244,-208.4093986660853,23,6.865610257650901,grid::tp2.5_to16_sw3,2.5,16,3,False
10632,0.40340481565086533,0.9888455393780183,-0.0056620040733476795,-0.0056620040733476795,-0.4617380889007181,-60.19842730783253,-227.55211271577355,17,4.537246049661399,grid::tp2.0_to8_sw4,2.0,8,4,False
10352,0.4088098918083462,0.9884807522268505,-0.005638297114449505,-0.005638297114449505,-0.36737139395593965,-58.367651728781276,-228.96616402473083,17,4.770092735703246,grid::tp2.0_to8_sw5,2.0,8,5,False
8517,0.3284020194904309,0.9880296997266176,-0.007762017369305934,-0.007762017369305934,-1.0,-66.10910193437864,-238.0206947006677,25,6.573911001526359,grid::tp2.5_to20_sw2,2.5,20,2,False
10038,0.3463837417812313,0.9875470149556859,-0.007624181088598198,-0.007624181088598198,-1.0,-76.53152976734872,-264.7367496636744,23,4.976688583383144,grid::tp2.5_to12_sw2,2.5,12,2,False
7746,0.36070229796023756,0.9869747111566001,-0.007593023106751637,-0.007593023106751637,-1.0,-58.81555698489818,-214.522859657635,21,7.619287374128582,grid::tp2.5_to16_sw4,2.5,16,4,False
10046,0.3939876567788174,0.9867082517070511,-0.006701585498674741,-0.006701585498674741,-0.44077996101983985,-67.32412791968645,-257.3406824100834,17,4.971132789169819,grid::tp2.5_to8_sw5,2.5,8,5,False
8351,0.4267752364986229,0.9866256465994012,-0.006832030206502636,-0.006832030206502636,-0.5415959252970575,-57.054284254503514,-185.36875704399205,24,7.005628068494791,grid::tp1.5_to16_sw5,1.5,16,5,False
9787,0.427914580566057,0.9858788034248074,-0.00715116353932956,-0.00715116353932956,-0.4831199068684404,-69.9884375594184,-205.8695649217605,18,5.387963625217124,grid::tp1.5_to12_sw4,1.5,12,4,False
8151,0.4217887375782113,0.9857387627505751,-0.0076643760465348884,-0.0076643760465348884,-1.0,-62.47232915530588,-208.30562496374554,19,7.294565084038768,grid::tp1.5_to20_sw4,1.5,20,4,False
10313,0.3857267526422961,0.9850512445551258,-0.007841326969583349,-0.007841326969583349,-0.6006768189508992,-80.86760503731307,-271.1763786462731,17,4.740909531659071,grid::tp2.5_to8_sw4,2.5,8,4,False
7646,0.34004708344232276,0.9849884882720542,-0.009417121028504649,-0.009417121028504649,-1.0,-72.00330738394655,-252.15102545266106,25,7.773868689510856,grid::tp2.5_to20_sw3,2.5,20,3,False
10704,0.3756539611360239,0.9830535216560133,-0.00930495296244959,-0.00930495296244959,-1.0,-99.60021651006042,-296.9371568743291,17,4.417507473841555,grid::tp2.5_to8_sw3,2.5,8,3,False
11101,0.39401855688676696,0.9821446664947723,-0.009482783623431322,-0.009482783623431322,-0.7508243052284576,-105.26838100371111,-280.12209402655566,17,4.189352310602648,grid::tp2.0_to8_sw3,2.0,8,3,False
9197,0.35718168968141784,0.980643981940329,-0.012008077293934192,-0.012008077293934192,-1.0,-110.43828687231276,-306.59079024933925,21,5.863651190605633,grid::tp2.0_to20_sw2,2.0,20,2,False
9108,0.33454106280193235,0.980232270943001,-0.012538701016745302,-0.012538701016745302,-1.0,-114.20248886051621,-258.24417656538134,26,5.8644049187527445,grid::tp2.5_to16_sw2,2.5,16,2,False
7101,0.3512181382903816,0.9789007393226057,-0.012763858704459471,-0.012763858704459471,-1.0,-90.6361606603667,-246.54884624181253,20,8.73327700323898,grid::tp2.5_to20_sw4,2.5,20,4,False
8809,0.42195481893517994,0.9785413460161638,-0.011280444773853666,-0.011280444773853666,-0.885408708938118,-99.36943801287694,-207.3776273706288,17,6.431036440004541,grid::tp1.5_to16_sw4,1.5,16,4,False
11420,0.3597197898423818,0.977267815316176,-0.013230660690848758,-0.013230660690848758,-1.0,-151.09414508949283,-310.64460193906996,17,3.901401050788091,grid::tp2.5_to8_sw2,2.5,8,2,False
9714,0.3631871525633107,0.9771893942580013,-0.013850588426599517,-0.013850588426599517,-1.0,-134.5446159759877,-290.5361038352192,20,5.327980234712785,grid::tp2.0_to16_sw2,2.0,16,2,False
11904,0.380880376344086,0.9762691889246656,-0.013341368690766518,-0.013341368690766518,-1.0,-158.81565289488464,-314.2029974343457,17,3.637768817204301,grid::tp2.0_to8_sw2,2.0,8,2,False
10841,0.43455400793284754,0.9751182688419868,-0.011571147544982535,-0.011571147544982535,-0.25536585365854847,-125.44281053515567,-238.92079480791776,14,4.477815699658703,grid::tp1.5_to8_sw5,1.5,8,5,False
10462,0.41980500860256165,0.9728422431909899,-0.014333019129857235,-0.014333019129857235,-0.8938933430412237,-149.9520461365664,-276.75627759731367,16,4.802332250047792,grid::tp1.5_to12_sw3,1.5,12,3,False
8973,0.4134626100523794,0.972481142282575,-0.015314167036251432,-0.015314167036251432,-1.0,-137.4140208162841,-278.5827098649737,19,6.256658865485345,grid::tp1.5_to20_sw3,1.5,20,3,False
11203,0.4302418994912077,0.972381726148773,-0.013323703253587754,-0.013323703253587754,-0.32942162615254,-149.26544754994362,-235.41091290269785,14,4.203963224136392,grid::tp1.5_to8_sw4,1.5,8,4,False
9585,0.41471048513302033,0.9658182997693261,-0.018663999536293045,-0.018663999536293045,-1.0,-178.89443555536883,-274.89638395469035,16,5.606364110589463,grid::tp1.5_to16_sw3,1.5,16,3,False
11795,0.42407799915218314,0.9624184475753734,-0.018953743767135163,-0.018953743767135163,-0.4618823529412218,-223.55940773335925,-310.66681300128704,14,3.810597710894447,grid::tp1.5_to8_sw3,1.5,8,3,False
10787,0.40567349587466395,0.9580054825976522,-0.02377493207687913,-0.02377493207687913,-1.0,-256.4601923132952,-318.7702423930399,17,4.567720404190229,grid::tp1.5_to16_sw2,1.5,16,2,False
11574,0.4101434249179195,0.9569621704857266,-0.023750470306505084,-0.023750470306505084,-1.0,-274.88794332748984,-359.44084600088314,17,3.995507171245896,grid::tp1.5_to12_sw2,1.5,12,2,False
10265,0.4028251339503166,0.953116435541193,-0.02699448756787962,-0.02699448756787962,-1.0,-277.0984148842843,-347.7757102599089,20,4.998149050170483,grid::tp1.5_to20_sw2,1.5,20,2,False
12771,0.41406311173753035,0.9514299488322671,-0.02586233053353443,-0.02586233053353443,-1.0,-330.28782324376823,-397.28213713733476,15,3.2447733145407565,grid::tp1.5_to8_sw2,1.5,8,2,False
